time,temp,humid,gas,defuzz
420.000000,74.186120,3.749152,19.596672,80.297275
421.000000,74.237856,3.952711,18.856993,80.297275
422.000000,83.371411,2.743280,21.617900,80.273549
424.000000,80.070650,3.067449,20.993648,80.291384
425.000000,76.456567,3.426665,19.019375,80.297275
426.000000,70.431616,4.276185,18.547459,80.297275
427.000000,79.689018,3.606816,20.987831,80.291478
428.000000,71.711579,4.387340,18.833612,80.297275
430.000000,78.012975,3.183356,20.162995,80.297236
431.000000,83.315010,2.633317,21.605633,80.274058
432.000000,94.504171,2.011862,24.750532,79.836097
433.000000,78.678933,3.250657,20.780045,80.294333
434.000000,76.590105,3.888782,20.608849,80.295812
436.000000,83.853105,2.714745,23.192183,80.138313
437.000000,101.865110,2.220221,28.383932,78.418260
438.000000,100.129090,1.986348,26.915628,79.106839
439.000000,103.661070,1.749387,28.354929,78.433228
440.000000,93.992990,2.263206,25.166359,79.723979
442.000000,98.982170,2.563605,26.432445,79.300340
443.000000,96.115477,3.098060,27.477419,78.860734
444.000000,101.710450,1.987245,27.584390,78.811373
445.000000,106.739830,1.725767,28.926801,78.128157
446.000000,96.837516,2.360538,25.384549,79.659768
448.000000,96.939353,2.058400,27.784832,78.716796
449.000000,97.699899,2.429178,28.429474,78.394633
450.000000,95.162940,2.430376,27.041763,79.053530
451.000000,102.711030,1.749186,28.921212,78.131224
452.000000,115.056110,1.792950,32.370128,78.790163
454.000000,110.837660,1.973163,30.669549,77.901137
455.000000,113.546260,1.851990,30.858137,78.008334
456.000000,114.929570,2.214887,31.725703,78.474627
457.000000,103.955710,1.945997,27.842456,78.689112
458.000000,89.800408,2.884162,24.453360,79.908014
460.000000,99.664091,2.874426,27.608815,78.800003
461.000000,111.482660,1.783007,30.284540,77.676006
462.000000,88.649455,2.622212,24.431849,79.912930
463.000000,97.057716,2.465888,26.161154,79.401404
464.000000,64.977068,6.492998,15.627755,80.297275
466.000000,70.708202,4.097421,16.755203,80.297275
467.000000,80.858785,3.456609,22.950698,80.169202
468.000000,105.545110,2.262764,29.497052,77.804711
469.000000,111.705050,2.317982,31.250726,78.225030
470.000000,88.446137,3.138108,25.124000,79.736041
472.000000,117.103340,1.884745,32.110134,78.666158
473.000000,111.364490,1.690676,30.294901,77.682145
474.000000,121.490250,1.805774,33.775795,79.378411
475.000000,91.849999,2.831176,26.610143,79.231170
476.000000,102.051850,2.455889,29.978420,77.517733
478.000000,93.525090,2.164528,27.786136,78.716171
479.000000,111.053060,2.105241,31.309657,78.256717
480.000000,119.826590,1.823437,34.508521,79.626951
481.000000,115.156490,1.818516,31.484170,78.349457
482.000000,78.918177,4.059924,21.417505,80.280995
484.000000,92.548608,2.014865,24.254987,79.952185
485.000000,78.679099,3.370515,21.598880,80.274337
486.000000,92.078972,2.178568,24.708553,79.846677
487.000000,105.916740,2.108643,28.350095,78.435726
488.000000,85.969142,3.985348,23.854775,80.032141
490.000000,86.409196,2.569362,23.616527,80.074019
491.000000,102.329560,1.880003,28.452789,78.382467
492.000000,99.176022,1.937465,28.578500,78.316348
493.000000,115.253810,2.071854,32.124076,78.672927
494.000000,88.772561,2.858206,25.046963,79.757554
496.000000,115.258410,1.862877,32.609574,78.900298
497.000000,111.238560,1.892049,27.806191,78.706548
498.000000,82.434600,3.635568,21.639664,80.272637
499.000000,117.219960,1.877877,30.313249,77.693060
500.000000,92.418372,3.029778,26.788011,79.159606
502.000000,106.039050,1.893440,28.730054,78.235394
503.000000,112.780460,2.283119,30.800738,77.975968
504.000000,131.761210,1.923979,36.712469,80.124991
505.000000,148.049610,2.128944,41.475342,80.279033
506.000000,154.415710,2.212306,39.083741,80.292596
508.000000,137.420480,1.932774,36.488570,80.091156
509.000000,147.013420,2.062450,39.956058,80.297273
510.000000,129.224580,1.859479,34.840454,79.725928
511.000000,157.155380,2.141421,41.546662,80.276418
512.000000,141.978520,2.243363,39.289573,80.295008
514.000000,144.439720,2.042598,37.337579,80.200933
515.000000,160.777180,2.139544,41.067109,80.290034
516.000000,134.050790,1.936228,36.428634,80.081520
517.000000,155.538780,2.089653,39.516221,80.296512
518.000000,166.411460,2.247483,43.816602,80.039147
520.000000,138.655020,1.965201,36.879167,80.147902
521.000000,139.453240,2.009311,36.571095,80.104060
522.000000,123.450500,2.340857,33.024361,79.081618
523.000000,163.664820,2.266738,44.291855,79.944184
524.000000,119.534460,2.373924,31.433653,78.322796
526.000000,155.300490,2.174319,42.467158,80.219345
527.000000,152.519150,2.060992,39.300932,80.295112
528.000000,155.790520,2.071833,39.290349,80.295015
