time,temp,humid,gas,smoke,defuzz
261.619680,53.189663,8.120751,10.697429,27.463283,79.150460
262.808350,54.331803,7.721742,10.435313,26.790358,79.570780
264.016550,45.308792,11.533214,7.471299,19.180906,77.574261
265.210460,58.708062,6.126780,11.198822,28.750499,79.824709
266.407700,64.087705,5.021910,13.518088,34.704700,79.483948
267.609980,70.740142,3.964592,16.706057,42.889106,80.297275
268.804490,62.467267,5.352949,12.797526,32.854817,78.192130
270.006020,58.857905,6.009047,10.796830,27.718471,80.138974
271.202830,58.657800,6.235221,11.363993,29.174539,79.637962
272.408140,67.914765,4.507583,15.503470,39.801729,80.297275
273.609220,59.069715,6.112158,11.742961,30.147454,79.083221
274.801180,51.277045,8.305782,8.606474,22.095218,78.239213
276.014370,52.296640,7.974471,8.928482,22.921901,78.755565
277.213040,52.291019,8.036821,9.406464,24.149016,78.752907
278.418000,51.911163,8.126491,9.097643,23.356186,78.568235
279.612160,53.540085,7.626558,9.880519,25.366048,79.289807
280.818000,58.329922,6.365888,11.970447,30.731474,78.670082
282.023830,52.492389,8.131845,10.252406,26.320783,78.846890
283.209140,50.490303,8.846297,8.371950,21.493131,77.797348
284.410580,49.272887,9.332417,7.578799,19.456891,77.694220
285.615940,51.347481,8.271019,8.643051,22.189121,78.277004
286.816220,52.614554,7.877288,9.284858,23.836818,78.902546
288.023730,50.474721,8.618805,8.481647,21.774752,77.788252
289.201910,50.803861,8.488845,8.545961,21.939864,77.977737
290.400880,54.626386,7.310929,10.374820,26.635056,79.663080
291.603450,57.193503,6.652893,11.786521,30.259285,79.008581
292.821630,58.201883,6.381303,11.760481,30.192432,79.053461
294.006050,57.068760,6.694303,10.950221,28.112270,80.042012
295.218720,50.147062,9.086444,9.246478,23.738286,77.593725
296.413180,52.858958,8.305097,10.222552,26.244140,79.010770
297.604790,55.716483,7.690379,11.878158,30.494542,78.844581
298.829310,55.318298,7.756780,10.982700,28.195653,79.853392
300.012720,50.986237,8.766552,8.825629,22.657850,78.080050
301.205710,53.496774,7.885163,9.408533,24.154326,79.273068
302.402690,51.624731,8.592787,9.215509,23.658780,78.422733
303.617740,61.520091,5.814976,13.335883,34.236930,79.212754
304.825110,61.320520,5.762584,13.491680,34.636904,79.447125
306.019480,55.042979,7.533990,9.777061,25.100441,79.782103
307.222210,46.688351,10.462239,7.538869,19.354378,77.598784
308.424940,56.707336,6.569000,10.157822,26.077962,80.124256
309.600940,57.993441,6.217622,10.498606,26.952847,80.253664
310.816260,56.725788,6.525571,9.766476,25.073267,80.126893
312.011720,52.537847,7.939654,9.169008,23.539399,78.867713
313.207180,55.842882,6.868880,9.840952,25.264466,79.972858
314.407730,51.892195,8.095003,8.898068,22.843821,78.558758
315.610820,49.727723,8.924425,8.332716,21.392405,77.668725
316.814610,51.369348,8.294257,8.649342,22.205271,78.288673
318.012610,50.269367,8.682721,8.362651,21.469257,77.666995
319.210600,48.539178,9.497849,8.183572,21.009510,78.337163
320.408600,46.480725,10.999937,7.136573,18.321572,78.333408
321.606600,47.905502,10.022789,7.924475,20.344337,78.460416
322.810040,55.474399,7.051890,10.105197,25.942857,79.891138
324.008040,57.621516,6.301370,10.321975,26.499387,80.226904
325.212860,51.536381,8.342383,8.276925,21.249173,78.376800
326.400780,40.856223,13.906315,5.913112,15.180607,80.067986
327.608080,59.038531,6.321355,12.373301,31.765714,77.806949
328.808950,61.682840,5.651993,13.555655,34.801145,79.534867
330.009820,61.755396,5.542707,13.380999,34.352754,79.283606
331.210700,62.451707,5.298562,12.806108,32.876851,78.210797
332.413430,61.914268,5.503527,12.801950,32.866173,78.201761
333.614120,64.050134,5.203600,14.276130,36.650805,80.175743
334.817590,58.916457,6.080639,11.184421,28.713527,79.839345
336.020730,69.459935,4.152903,15.552889,39.928602,80.297275
337.207450,67.186481,4.442168,14.338431,36.810749,80.202532
338.423240,60.556712,5.631932,11.530225,29.601303,79.415935
339.622070,60.704558,5.579395,11.334385,29.098526,79.673927
340.807900,55.841220,6.813028,9.932728,25.500081,79.972512
342.000400,55.797125,6.884920,10.292756,26.424373,79.963278
343.209960,56.329685,6.934054,11.680473,29.987031,79.186478
344.426450,59.476575,6.115342,12.497338,32.084150,77.511069
345.617760,56.467186,6.780801,11.062124,28.399555,79.953587
346.813010,54.432574,7.284894,9.801514,25.163219,79.603118
348.019520,51.865846,8.134669,8.959863,23.002465,78.545544
349.215860,56.064962,6.903118,10.849942,27.854826,80.017083
350.419340,56.178542,6.808753,10.527093,27.025983,80.038260
351.609180,53.977280,7.485999,9.444065,24.245547,79.450850
352.820910,58.038572,6.444171,11.303381,29.018931,79.710417
354.006230,52.367177,8.191853,9.678911,24.848462,78.788782
355.205750,52.107479,8.150106,9.571042,24.571533,78.664867
356.405270,50.889422,8.561006,8.739599,22.436986,78.025978
357.610600,55.113511,7.039018,9.792225,25.139371,79.800934
358.811800,57.800222,6.385703,10.533744,27.043057,80.240745
360.010570,56.052955,6.754849,9.745128,25.018461,80.014782
361.207660,55.395042,6.884251,9.375408,24.069285,79.872172
362.403880,58.686067,6.243067,11.805657,30.308414,78.975110
363.606300,58.933145,6.262986,12.477575,32.033415,77.559034
364.804180,55.715003,7.016350,10.791466,27.704702,79.945678
366.002050,56.076461,6.855231,10.492451,26.937047,80.019280
367.224890,50.279685,8.770304,8.265044,21.218673,77.673125
368.419030,54.076162,7.510289,9.207423,23.638021,79.485262
369.611710,47.504469,9.974322,7.428176,19.070198,77.677640
370.806600,57.653753,6.479080,11.587097,29.747309,79.332251
372.021360,59.892375,5.855394,11.774858,30.229342,79.028778
373.214990,55.995672,6.808938,9.849713,25.286959,80.003709
374.420280,56.954148,6.719036,10.704195,27.480653,80.157516
375.623390,52.154437,8.102523,9.133109,23.447238,78.687613
376.815320,49.094989,9.156372,7.792845,20.006405,78.034735
378.003580,59.892396,6.272535,12.671146,32.530365,77.909771
379.219060,55.353846,7.428407,11.093616,28.480404,79.862130
380.409170,58.498226,6.188658,10.711348,27.499016,80.181424
381.602020,54.838903,7.246950,9.811481,25.188807,79.725484
382.817380,62.960254,5.149314,12.286067,31.541759,78.006985
384.010230,56.905983,6.494911,10.106539,25.946302,80.151366
385.207230,53.698941,7.726601,9.738390,25.001161,79.349971
386.417570,55.037553,7.304491,10.066263,25.842902,79.780639
387.617390,60.459819,5.875325,12.737431,32.700535,78.059721
388.807880,55.232710,7.180057,10.187056,26.153013,79.831847
390.000720,51.904962,8.201293,9.187037,23.585684,78.565140
391.213820,55.050226,7.727683,10.728953,27.544213,79.784055
392.400930,48.523496,9.866345,8.650278,22.207674,78.345426
393.601330,57.735655,6.420013,10.684484,27.430050,80.193133
394.801730,55.397900,7.236266,10.927224,28.053231,79.872866
396.011370,55.091145,7.574867,11.287926,28.979254,79.728167
397.204840,59.833663,5.933540,12.023956,30.868848,78.564748
398.411520,48.351490,9.714485,8.108850,20.817679,78.435005
399.609820,48.232612,9.618051,7.840277,20.128177,78.284281
400.808120,50.739221,8.355936,7.666968,19.683244,77.900173
402.006420,45.642924,10.588026,6.278386,16.118367,79.578951
403.204720,40.865126,13.288883,5.292384,13.587026,79.576054
404.403020,43.826771,11.509825,6.012880,15.436738,79.994351
405.601320,44.115923,11.340898,6.086335,15.625318,79.932455
406.830340,46.100010,10.394582,6.541796,16.794614,79.399216
408.028640,40.183769,13.859681,4.917805,12.625376,77.803871
409.226940,47.062180,9.946040,7.014796,18.008937,78.582990
410.425240,46.984321,10.017884,7.170324,18.408222,78.261581
411.623540,45.101867,10.883028,6.359887,16.327603,79.643003
412.816940,44.728599,11.063375,6.312275,16.205370,79.700082
414.002240,46.987469,9.954500,6.933617,17.800529,78.740824
415.200550,50.082347,8.648754,7.653220,19.647948,77.554561
416.413340,44.840142,11.265946,7.179232,18.431090,78.242452
417.601830,45.402940,11.095340,7.249361,18.611131,78.089133
418.820040,45.829380,10.767047,7.205929,18.499628,78.184630
420.004110,46.714753,10.302166,7.673159,19.699139,77.914386
421.217630,47.909246,9.784762,8.040645,20.642577,78.656722
422.403580,49.610199,9.146909,8.518010,21.868106,77.738365
423.626070,45.874443,10.700729,7.088546,18.198275,78.433613
424.811810,49.098551,9.388233,8.116633,20.837659,78.032736
426.024500,41.178653,13.533639,5.874316,15.081007,80.093408
427.218320,46.176680,10.720139,7.271239,18.667298,78.040358
428.404060,46.312765,10.645676,7.579844,19.459573,77.696708
429.604380,47.257719,10.011970,7.418354,19.044984,77.700996
430.816190,48.063944,9.677732,8.049188,20.664509,78.580627
432.018350,52.565760,8.037355,9.883332,25.373269,78.880440
433.216900,51.740822,8.484522,9.071388,23.288781,78.482327
